Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/30/23,Wednesday,TIKTOK,100,Social Media
8/30/23,Wednesday,INSTAGRAM,79,Social Media
8/30/23,Wednesday,MESSAGES ,105,Other
8/30/23,Wednesday,SAFARI,30,Other
8/30/23,Wednesday,GOOGLE,2,Other
8/30/23,Wednesday,PHOTOS,3,Other
8/30/23,Wednesday,GMAIL,2,Other
8/29/23,Tuesday,MESSAGES ,94,Other
8/29/23,Tuesday,TIKTOK,64,Social Media
8/29/23,Tuesday,INSTAGRAM,35,Social Media
8/29/23,Tuesday,YOUTUBE,20,Entertainment
8/29/23,Tuesday,SAFARI,13,Other
8/29/23,Tuesday,SPOTIFY,10,Other
8/29/23,Tuesday,GOOGLE.COM,9,Other
8/28/23,Monday,SAFARI,120,Other
8/28/23,Monday,MESSAGES ,92,Other
8/28/23,Monday,INSTAGRAM ,39,Social Media
8/28/23,Monday,PHOTOS,28,Other
8/28/23,Monday,SNAPCHAT,10,Social Media
8/28/23,Monday,TIKTOK,6,Social Media
8/28/23,Monday,GOOGLE.COM,4,Other
8/28/23,Monday,FACEBOOK,4,Social Media
8/27/23,Sunday,MESSAGES ,139,Other
8/27/23,Sunday,TIKTOK,110,Social Media
8/27/23,Sunday,INSTAGRAM,72,Social Media
8/27/23,Sunday,CALCULATOR,59,Education
8/27/23,Sunday,MAPS,55,Travel
8/27/23,Sunday,CLOCK,15,Other
8/27/23,Sunday,FACEBOOK,12,Social Media
8/27/23,Sunday,SNAPCHAT,10,Social Media
8/26/23,Saturday,TIKTOK,105,Social Media
8/26/23,Saturday,MESSAGES ,68,Other
8/26/23,Saturday,INSTAGRAM,65,Social Media
8/26/23,Saturday,MAPS,23,Travel
8/26/23,Saturday,SAFARI,18,Other
8/26/23,Saturday,GOOGLE.COM,7,Other
8/26/23,Saturday,FACEBOOK,6,Social Media
8/26/23,Saturday,PATELCO MOBILE,6,Other
8/26/23,Saturday,YOUTUBE ,5,Entertainment
8/26/23,Saturday,HULU ,5,Entertainment
8/25/23,Friday,MESSAGES ,89,Other
8/25/23,Friday,INSTAGRAM,88,Social Media
8/25/23,Friday,TIKTOK,81,Social Media
8/25/23,Friday,MAPS,52,Travel
8/25/23,Friday,YOUTUBE,51,Entertainment
8/25/23,Friday,SAFARI,9,Other
8/25/23,Friday,FACEBOOK,3,Social Media
8/24/23,Thursday,TIKTOK,61,Social Media
8/24/23,Thursday,INSTAGRAM,50,Social Media
8/24/23,Thursday,MESSAGES ,37,Other
8/24/23,Thursday,CANAVS STUDENT ,14,Education
8/24/23,Thursday,YOUTUBE,5,Entertainment
8/24/23,Thursday,MAPS ,3,Travel
8/24/23,Thursday,GMAIL,3,Other
